"bill","committee","session","url","filename","date"
"","Task Force Meeting of ASSEMBLY COASTAL NEW JERSEY EVACUATION TASK FORCE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/taco080607_appendix.pdf","taco080607_appendix.pdf","August 6, 2007"
"","Task Force Meeting of ASSEMBLY COASTAL NEW JERSEY EVACUATION TASK FORCE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/taco100407.pdf","taco100407.pdf","October 4, 2007"
"","Task Force Meeting of ASSEMBLY COASTAL NEW JERSEY EVACUATION TASK FORCE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/taco100407_appendix.pdf","taco100407_appendix.pdf","October 4, 2007"
"","Task Force Meeting of ASSEMBLY COASTAL NEW JERSEY EVACUATION TASK FORCE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/taco100907.pdf","taco100907.pdf","October 9, 2007"
"","Task Force Meeting of ASSEMBLY COASTAL NEW JERSEY EVACUATION TASK FORCE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/taco100907_appendix.pdf","taco100907_appendix.pdf","October 9, 2007"
"","Task Force Meeting of ASSEMBLY COASTAL NEW JERSEY EVACUATION TASK FORCE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/taco12202007.pdf","taco12202007.pdf","December 20, 2007"
"","Public Hearing before ASSEMBLY EDUCATION COMMITTEE ASSEMBLY EDUCATION COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/AED043007.pdf","AED043007.pdf","April 30, 2007"
"","Public Hearing before ASSEMBLY EDUCATION COMMITTEE ASSEMBLY EDUCATION COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/AED043007_appendix.pdf","AED043007_appendix.pdf","April 30, 2007"
"","Committee Meeting of ASSEMBLY EDUCATION COMMITTEE/ASSEMBLY BUDGET COMMITTEE ASSEMBLY EDUCATION COMMITTEE/ASSEMBLY BUDGET COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/AEDABU122707.pdf","AEDABU122707.pdf","December 27, 2007"
"","Public Hearing before ASSEMBLY ENVIRONMENT AND SOLID WASTE COMMITTEE ASSEMBLY ENVIRONMENT AND SOLID WASTE COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/aen022007.pdf","aen022007.pdf","February 20, 2007"
"","Public Hearing before ASSEMBLY ENVIRONMENT AND SOLID WASTE COMMITTEE ASSEMBLY ENVIRONMENT AND SOLID WASTE COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/aen022007_appendix.pdf","aen022007_appendix.pdf","February 20, 2007"
"","Committee Meeting of ASSEMBLY ENVIRONMENT AND SOLID WASTE COMMITTEE ASSEMBLY ENVIRONMENT AND SOLID WASTE COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/aen022607.pdf","aen022607.pdf","February 26, 2007"
"","Committee Meeting of ASSEMBLY ENVIRONMENT AND SOLID WASTE COMMITTEE ASSEMBLY ENVIRONMENT AND SOLID WASTE COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/aen022607_appendix.pdf","aen022607_appendix.pdf","February 26, 2007"
"","Public Hearing before ASSEMBLY FINANCIAL INSTITUTIONS AND INSURANCE COMMITTEE ASSEMBLY FINANCIAL INSTITUTIONS AND INSURANCE COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/AFI041907.pdf","AFI041907.pdf","April 19, 2007"
"","Public Hearing before SENATE COMMUNITY AND URBAN AFFAIRS COMMITTEE AND ASSEMBLY HOUSING AND LOCAL GOVERNMENT SENATE COMMUNITY AND URBAN AFFAIRS COMMITTEE AND ASSEMBLY HOUSING AND LOCAL GOVERNMENT","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/SCUAHO013007.pdf","SCUAHO013007.pdf","January 30, 2007"
"","Public Hearing before ASSEMBLY HOUSING AND LOCAL GOVERNMENT COMMITTEE COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/AHO121007.pdf","AHO121007.pdf","December 10, 2007"
"","Public Hearing before ASSEMBLY HOUSING AND LOCAL GOVERNMENT COMMITTEE COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/AHO121007_appendix.pdf","AHO121007_appendix.pdf","December 10, 2007"
"","Public Hearing before MILITARY AND VETRANS' AFFAIRS COMMITTEE MILITARY AND VETRANS' AFFAIRS COMMITTEE","2007 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/amv052107.pdf","amv052107.pdf","May 21, 2007"
